data_hora,cenario,nos_astar,tempo_astar_s,custo_astar,passos_astar,nos_bfs,tempo_bfs_s,custo_bfs,passos_bfs,nos_tempo_real,replanejamentos
2026-06-04 13:01:30,cidade_limpa,40,0.000397,17.50,12,170,0.000824,17.50,12,211,11
2026-06-04 13:01:31,cidade_limpa,260,0.002445,25.00,17,1203,0.006317,25.00,17,1450,16
2026-06-04 13:01:31,cidade_limpa,172,0.001499,28.00,19,793,0.003895,28.00,19,1192,18
2026-06-04 13:01:32,cidade_limpa,220,0.001956,29.50,20,753,0.004002,29.50,20,1714,19
2026-06-04 13:01:33,cidade_limpa,667,0.005702,35.50,24,1438,0.007352,185.50,24,5239,23
2026-06-04 13:01:34,cidade_densa,255,0.002609,26.50,18,1002,0.004861,73.50,16,1462,17
2026-06-04 13:01:35,cidade_densa,28,0.000250,14.50,10,234,0.001119,14.50,10,111,9
2026-06-04 13:01:35,cidade_densa,109,0.001253,23.50,16,713,0.003477,23.50,16,2183,17
2026-06-04 13:01:36,cidade_densa,240,0.002236,28.00,19,1001,0.004909,375.00,17,3383,20
2026-06-04 13:01:37,cidade_densa,116,0.001105,23.50,16,676,0.003451,23.50,16,668,15
2026-06-04 13:01:37,cidade_densa_vento_forte,101,0.000921,19.00,13,555,0.002720,19.00,13,469,12
2026-06-04 13:01:38,cidade_densa_vento_forte,324,0.002766,40.00,27,1094,0.005520,40.00,27,4591,26
2026-06-04 13:01:39,cidade_densa_vento_forte,541,0.004804,139.00,25,1043,0.006110,284.00,23,7284,24
2026-06-04 13:01:40,cidade_densa_vento_forte,155,0.001353,26.50,18,753,0.003572,276.50,18,1042,17
2026-06-04 13:01:40,cidade_densa_vento_forte,88,0.000847,20.50,14,762,0.004068,20.50,14,414,13
2026-06-04 13:07:58,cidade_densa,547,0.004600,35.00,23,1141,0.005989,481.00,21,3991,22
